Name,Domain,Grundversorgungsseite
EWE,ewe.de,https://www.swk.de/de/staedte/gas-bremervoerde 
Stadtwerke Osnabrück,stadtwerke-osnabrueck.de,https://www.swk.de/de/staedte/gas-osnabrueck
Stadtwerke Bielefeld,stadtwerke-bielefeld.de,https://bestellung.stadtwerke-bielefeld.de/privatkunden/energie-wasser/erdgas/mein-bestgas
Stadtwerke Münster,stadtwerke-muenster.de,https://www.swk.de/de/staedte/gas-muenster-westfalen
Stadtwerke Emden,stadtwerke-emden.de,https://www.swk.de/de/staedte/gas-emden-ostfriesland
Stadtwerke Wilhelmshaven,stadtwerke-wilhelmshaven.de,https://www.gew-wilhelmshaven.de/havengas/ 
Stadtwerke Nordhorn,stadtwerke-nordhorn.de,https://www.swk.de/de/staedte/gas-nordhorn
Stadtwerke Schneverdingen, heidjers-stadtwerke.de,https://heidjers-stadtwerke.de/erdgas
Stadtwerke Norderney, stadtwerke-norderney.de,https://www.swk.de/de/staedte/gas-norderney
Stadtwerke Lingen, stadtwerke-lingen.de,https://www.swk.de/de/staedte/gas-lingen-ems
Stadtwerke Springe, stadtwerke-springe.de,https://www.swk.de/de/staedte/gas-springe-deister
Stadtwerke Clausthal, stadtwerke-claustahl.de,https://www.swk.de/de/staedte/gas-clausthal-zellerfeld
Stadtwerke Jork, stadtwerke-buxtehude.de,https://www.swk.de/de/staedte/gas-jork-niederelbe
Stadtwerke Winsen, stw-winsen.de,https://www.swk.de/de/staedte/gas-winsen-aller
Stadtwerke Georgsmarienhütte, sw-gmhuette.de, https://www.swk.de/de/staedte/gas-georgsmarienhuette
enBw, enbw.con,https://www.swk.de/de/staedte/gas-stuttgart
Stadtwerke München, swm.de,https://www.swk.de/de/staedte/gas-muenchen
Mainova, mainova.de,https://www.mainova.de/de/tarife/erdgas/mainova-erdgas-classic 
Rheinenergie, rheinenergie.com,https://www.rheinenergie.com/de/geschaeftskunden/energie_und_wasser/erdgas_1/traderegio_erdgas/traderegio_erdgas.html 
Stadtwerke Heidelberg, swhd.de,https://www.swk.de/de/staedte/gas-leimen-baden
Stadtwerke Bochum, stadtwerke-bochum.de,https://www.swk.de/de/staedte/gas-bochum
Stadtwerke Konstanz,stadtwerke-konstanz.de,https://www.swk.de/de/staedte/gas-konstanz
Stadtwerke Herne,stadtwerke-herne.de,https://www.swk.de/de/staedte/gas-herne-westfalen
Stadtwerke Cottbus,stadtwerke-cottbus.de,https://www.swk.de/de/staedte/gas-cottbus
Stadtwerke Göttingen,stadtwerke-goettingen.de,https://www.swk.de/de/staedte/gas-goettingen
Stadtwerke Pforzheim,stadtwerke-pforzheim.de,https://www.swk.de/de/staedte/gas-pforzheim 
Stadtwerke Passau,stadtwerke-passau.de,https://energie.stadtwerke-passau.de/erdgas/grundversorgung-erdgas.html
Stadtwerke Augsburg,sw-augsburg.de,https://www.sw-augsburg.de/energie/swa-gas/gas-basis/ 
Stadtwerke Kiel, stadtwerke-kiel.de,https://www.swk.de/de/staedte/gas-kiel
Stadtwerke Tübingen, swtue.de,https://www.swk.de/de/staedte/gas-tuebingen 
Stadtwerke Schweinfurt, stadtwerke-sw.de,https://www.swk.de/de/staedte/gas-schweinfurt 
Stadtwerke Bonn,stadtwerke-bonn.de,https://www.swk.de/de/staedte/gas-bonn
Stadtwerke Leipzig,lvv.de,https://www.swk.de/de/staedte/gas-leipzig
Stadtwerke Berlin (Vattenfall),vattenfall.de,https://www.vattenfall.de/gas/tarife
Stadtwerke Karlsruhe,stadtwerke-karlsruhe.de,https://www.swk.de/de/staedte/gas-karlsruhe-baden
Stadtwerke Essen,stadtwerke-essen.de,https://www.swk.de/de/staedte/gas-essen-ruhr
Stadtwerke Ulm/Neu-Ulm (SWU),swu.de,https://www.swk.de/de/staedte/gas-neu-ulm
Stadtwerke Regensburg,stadtwerke-regensburg.de,https://www.swk.de/de/staedte/gas-regensburg
Stadtwerke Bayreuth,stadtwerke-bayreuth.de,https://www.swk.de/de/staedte/gas-bayreuth
Stadtwerke Bamberg,stadtwerke-bamberg.de,https://www.swk.de/de/staedte/gas-bamberg
Stadtwerke Landshut,stadtwerke-landshut.de,https://www.swk.de/de/staedte/gas-landshut-isar
Stadtwerke Hof,stadtwerke-hof.de,https://www.swk.de/de/staedte/gas-hof-an-der-saale
Stadtwerke Flensburg,stadtwerke-flensburg.de,https://www.stadtwerke-flensburg.de/produkte/gas/ersatz-und-grundversorgung
Stadtwerke Neumünster,swn.net,https://swn.net/regional/produkte/gas
Stadtwerke Gießen,stadtwerke-giessen.de,https://www.swg-energie.de/privatkunden/gas/grundversorgung
Stadtwerke Pirmasens,stadtwerke-pirmasens.de,https://www.swk.de/de/staedte/gas-pirmasens
Stadtwerke Düren,stadtwerke-dueren.de,https://www.swk.de/de/staedte/gas-dueren-rheinland
Stadtwerke Schwerin,stadtwerke-schwerin.de,https://www.swk.de/de/staedte/gas-schwerin-mecklenburg
Stadtwerke Coesfeld,stadtwerke-coesfeld.de,https://www.swk.de/de/staedte/gas-coesfeld
Stadtwerke Dachau,stadtwerke-dachau.de,https://www.swk.de/de/staedte/gas-dachau
Stadtwerke Delmenhorst,stadtwerke-delmenhorst.de,https://www.swk.de/de/staedte/gas-delmenhorst
Stadtwerke Heidenheim,stadtwerke-heidenheim.de,https://www.swk.de/de/staedte/gas-heidenheim-an-der-brenz
Stadtwerke Wolfenbüttel,stadtwerke-wf.de,https://www.swk.de/de/staedte/gas-wolfenbuettel-niedersachsen
Stadtwerke Merseburg,stadtwerke-merseburg.de,https://www.swk.de/de/staedte/gas-merseburg-saale
Stadtwerke Tuttlingen,stadtwerke-tuttlingen.de,https://www.swk.de/de/staedte/gas-tuttlingen
Stadtwerke Forchheim,stadtwerke-forchheim.de,https://www.swk.de/staedte/gas-forchheim-oberfranken
Stadtwerke Bad Nauheim,stadtwerke-bn.de,https://www.swk.de/staedte/gas-bad-nauheim
Stadtwerke Northeim,stadtwerke-northeim.de,https://www.swk.de/staedte/gas-northeim
Stadtwerke Kassel,sw-kassel.de,https://www.swk.de/staedte/gas-kassel-hessen
Stadtwerke Lemgo,stadtwerke-lemgo.de,https://www.swk.de/staedte/gas-lemgo
Stadtwerke Bad Salzuflen,stadtwerke-badsalzuflen.de,https://www.swk.de/staedte/gas-bad-salzuflen
Stadtwerke Zeitz,stadtwerke-zeitz.de,https://www.swk.de/staedte/gas-zeitz-elster
Stadtwerke Soest,stadtwerke-soest.de,https://www.swk.de/staedte/gas-soest-westfalen
Stadtwerke Pößneck,stadtwerke-poessneck.de,https://www.swk.de/staedte/gas-poessneck
Stadtwerke Telgte,swom.de,https://www.swk.de/staedte/gas-telgte
Stadtwerke Weißenfels,stadtwerke-weissenfels.de,https://www.swk.de/staedte/gas-weissenfels-saale
Stadtwerke Luegde,stadtwerke-luegde.de,https://www.swk.de/de/staedte/gas-luegde
Stadtwerke Troisdorf,stadtwerke-troisdorf.de,https://www.swk.de/staedte/gas-troisdorf
Stadtwerke Gronau,stadtwerke-gronau.de,https://www.swk.de/staedte/gas-gronau-westfalen
Stadtwerke Itzehoe,stadtwerke-itzehoe.de,https://www.swk.de/de/staedte/gas-itzehoe
Stadtwerke Bebra,stadtwerke-bebra.de,https://www.swk.de/staedte/gas-bebra
Stadtwerke Waldkraiburg,stadtwerke-waldkraiburg.de,https://www.swk.de/staedte/gas-waldkraiburg
Stadtwerke Lübbecke,stadtwerke-luebbecke.de,https://www.swk.de/staedte/gas-luebbecke-westfalen
Stadtwerke Wernigerode,stadtwerke-wr.de,https://www.swk.de/staedte/gas-wernigerode
Stadtwerke Weinheim,stadtwerke-weinheim.de,https://www.swk.de/de/staedte/gas-weinheim-bergstrasse
Erdgas Südwest,stadtwerke-badsaulgau.de,https://www.swk.de/de/staedte/gas-hohentengen-bei-bad-saulgau
